"日足・最新の選択","当日"," 8月26日","日足"
"市場","銘柄コード","銘柄名","始値","高値","安値","終値","出来高","","","","","","","","","","","","","","",""
"","","","実","実","実","実","        実","","","","","","","","","","","","","","",""
東２,1828,田辺工,903.0,903.0,885.0,897.0,1200,,,,,,,,,,,,,,,
東１,1833,奥村組,606.0,616.0,597.0,607.0,782000,,,,,,,,,,,,,,,
東１,1835,東鉄工,2432.0,2490.0,2427.0,2480.0,136900,,,,,,,,,,,,,,,
東２,1840,土屋ＨＤ,189.0,190.0,184.0,185.0,49900,,,,,,,,,,,,,,,
ＪＱ,1841,サンユ建,866.0,897.0,866.0,888.0,1600,,,,,,,,,,,,,,,
東２,1844,大盛工,36.0,39.0,36.0,38.0,3711800,,,,,,,,,,,,,,,
東２,1846,鈴縫工,203.0,215.0,201.0,215.0,51000,,,,,,,,,,,,,,,
東１,1847,イチケン,364.0,404.0,350.0,404.0,2817000,,,,,,,,,,,,,,,
東２,1848,富士Ｐ．Ｓ,256.0,256.0,250.0,250.0,2000,,,,,,,,,,,,,,,
東２,1850,南海辰,61.0,64.0,61.0,64.0,968000,,,,,,,,,,,,,,,
東１,1852,浅沼組,271.0,289.0,265.0,287.0,10997000,,,,,,,,,,,,,,,
東２,1853,森組,148.0,155.0,148.0,153.0,109000,,,,,,,,,,,,,,,
東１,1860,戸田建,561.0,577.0,560.0,574.0,1181000,,,,,,,,,,,,,,,
東１,1861,熊谷組,353.0,360.0,350.0,356.0,5636000,,,,,,,,,,,,,,,
東１,1865,青木あす,790.0,821.0,790.0,810.0,31400,,,,,,,,,,,,,,,
東１,1866,北野建,299.0,309.0,299.0,306.0,103000,,,,,,,,,,,,,,,
東１,1867,植木組,225.0,232.0,225.0,231.0,52000,,,,,,,,,,,,,,,
東１,1868,三井ホーム,577.0,584.0,570.0,584.0,69000,,,,,,,,,,,,,,,
名２,1869,名工建,790.0,800.0,765.0,800.0,15500,,,,,,,,,,,,,,,
東１,1870,矢作建,845.0,877.0,845.0,869.0,85100,,,,,,,,,,,,,,,
東１,1871,ＰＳ三菱,362.0,362.0,348.0,358.0,157000,,,,,,,,,,,,,,,
東１,1873,日本ハウスＨＤ,500.0,513.0,498.0,510.0,316400,,,,,,,,,,,,,,,
東１,1878,大東建,12430.0,12790.0,12330.0,12705.0,459300,,,,,,,,,,,,,,,
東１,1879,新日建,560.0,581.0,559.0,568.0,188300,,,,,,,,,,,,,,,
東１,1881,ＮＩＰＰＯ,1910.0,1964.0,1910.0,1954.0,480000,,,,,,,,,,,,,,,
東１,1882,東亜道,404.0,414.0,401.0,414.0,209000,,,,,,,,,,,,,,,
東１,1883,前田道,1938.0,2016.0,1905.0,2005.0,407000,,,,,,,,,,,,,,,
東１,1884,日道路,577.0,593.0,574.0,590.0,314000,,,,,,,,,,,,,,,
東１,1885,東亜建,228.0,234.0,224.0,232.0,832000,,,,,,,,,,,,,,,
東１,1888,若築建,148.0,153.0,148.0,152.0,1453000,,,,,,,,,,,,,,,
東１,1890,東洋建,478.0,496.0,475.0,491.0,941500,,,,,,,,,,,,,,,
名２,1892,徳倉建,164.0,167.0,160.0,167.0,5000,,,,,,,,,,,,,,,
東１,1893,五洋建,529.0,542.0,525.0,537.0,4595900,,,,,,,,,,,,,,,
東１,1896,大林道,626.0,635.0,612.0,624.0,203000,,,,,,,,,,,,,,,
東２,1897,金下建,417.0,417.0,417.0,417.0,1000,,,,,,,,,,,,,,,
東１,1898,世紀東,490.0,496.0,487.0,494.0,188700,,,,,,,,,,,,,,,
東１,1899,福田組,1030.0,1068.0,1021.0,1050.0,254000,,,,,,,,,,,,,,,
ＪＱ,1904,大成温,486.0,486.0,467.0,484.0,13000,,,,,,,,,,,,,,,
ＪＱ,1905,テノックス,731.0,731.0,700.0,720.0,15000,,,,,,,,,,,,,,,
ＪＱ,1906,細田工,113.0,124.0,113.0,121.0,40500,,,,,,,,,,,,,,,
東１,1909,日本ドライ,2135.0,2182.0,2135.0,2182.0,4600,,,,,,,,,,,,,,,
東１,1911,住友林,1275.0,1296.0,1253.0,1292.0,827100,,,,,,,,,,,,,,,
東１,1914,日基礎,427.0,449.0,422.0,441.0,169900,,,,,,,,,,,,,,,
東１,1916,日成ビルド,371.0,387.0,369.0,385.0,1553000,,,,,,,,,,,,,,,
東１,1919,ヤマダＳＸＬ,84.0,85.0,81.0,83.0,1231000,,,,,,,,,,,,,,,
東１,1921,巴コーポ,344.0,355.0,344.0,348.0,82600,,,,,,,,,,,,,,,
東１,1924,パナホーム,750.0,760.0,740.0,753.0,587000,,,,,,,,,,,,,,,
東１,1925,大和ハウス,2728.0,2798.0,2706.0,2777.5,3803200,,,,,,,,,,,,,,,
東１,1926,ライト工,1059.0,1130.0,1046.0,1117.0,684200,,,,,,,,,,,,,,,
東１,1928,積水ハウス,1680.5,1718.5,1662.5,1708.0,3878900,,,,,,,,,,,,,,,
東１,1929,日特建,460.0,468.0,450.0,465.0,150000,,,,,,,,,,,,,,,
東１,1930,北電事,1240.0,1240.0,1180.0,1220.0,48000,,,,,,,,,,,,,,,
東２,1931,日電通,419.0,435.0,419.0,427.0,7000,,,,,,,,,,,,,,,
東２,1933,ＳＹＳＫＥＮ,320.0,320.0,312.0,320.0,5000,,,,,,,,,,,,,,,
東１,1934,ユアテック,964.0,997.0,961.0,977.0,104000,,,,,,,,,,,,,,,
東２,1935,ＴＴＫ,480.0,480.0,471.0,477.0,16000,,,,,,,,,,,,,,,
名１,1936,シーキューブ,448.0,458.0,448.0,458.0,15200,,,,,,,,,,,,,,,
東１,1937,西電工,434.0,441.0,433.0,434.0,23000,,,,,,,,,,,,,,,
東１,1939,四電工,390.0,401.0,390.0,399.0,34000,,,,,,,,,,,,,,,
